ID;Title;Category;Description;ImageURLs;Tags;TeamIDs;LoPedido;LoHecho;LoLogrado
P01;Nike Refresh 2024;UX/UI;Rediseño integral de la experiencia de usuario para la plataforma e-commerce en Latam.;https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=80,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=1200&q=80,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=1200&q=80,https://images.unsplash.com/photo-1514989940723-e8e51635b782?w=1200&q=80,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=1200&q=80;E-commerce, UX, UI;T25,T10,T01,T08;Rediseñar la experiencia de usuario para aumentar la tasa de conversión en dispositivos móviles.;Auditoría completa de UX, prototipado de alta fidelidad y pruebas de usabilidad con usuarios reales.;Incremento del 25% en las ventas móviles y reducción del 15% en el abandono del carrito.
P02;Coca-Cola Summer;MOTION GRAPHICS;Campaña de piezas animadas para pantallas gigantes y redes sociales durante el verano.;https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=1200&q=80,https://images.unsplash.com/photo-1554866585-cd94860890b7?w=1200&q=80,https://images.unsplash.com/photo-1594498653385-d5172b532c00?w=1200&q=80,https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=1200&q=80,https://images.unsplash.com/photo-1629203851022-3103c8b4f17f?w=1200&q=80;Motion, Animation, Social;T11,T04,T05;Crear una campaña visual vibrante para atraer al público joven durante la temporada de verano.;Producción de motion graphics en 3D y piezas dinámicas para pantallas gigantes y redes sociales.;Millones de impresiones en redes sociales y un alto nivel de engagement con el público objetivo.
P03;Mastercard Security;VIDEO PRODUCTION;Producción de video tipo case study sobre las nuevas capas de seguridad biométrica.;https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=1200&q=80,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=1200&q=80,https://images.unsplash.com/photo-1614064641938-3bbee52942c7?w=1200&q=80,https://images.unsplash.com/photo-1627063300431-77b3df667232?w=1200&q=80,https://images.unsplash.com/photo-1533750516457-a7f992034fec?w=1200&q=80;Video, Production, Security;T05,T14,T15;Comunicar de manera efectiva las nuevas capas de seguridad biométrica a los tarjetahabientes.;Producción de un video case study narrativo que explica los beneficios de la tecnología biométrica.;Mejora en la percepción de seguridad de la marca y reducción en las consultas de soporte sobre fraude.
P04;Lego Builder Ads;BANNER ADS;Set de banners interactivos rich media para el lanzamiento de la línea Technic.;https://images.unsplash.com/photo-1585366119957-e9730b6d0f60?w=1200&q=80,https://images.unsplash.com/photo-1560155016-bd4879ae8f21?w=1200&q=80,https://images.unsplash.com/photo-1520627911821-39c131f31d85?w=1200&q=80,https://images.unsplash.com/photo-1472457897821-70d3819a0e24?w=1200&q=80,https://images.unsplash.com/photo-1558655146-d09347e92766?w=1200&q=80;Rich Media, Banners, HTML5;T02,T03,T06;Generar expectativa y engagement para el lanzamiento de la nueva línea Technic.;Desarrollo de un set de banners interactivos rich media que permiten a los usuarios construir virtualmente.;CTR 3 veces superior al promedio de la industria y aumento significativo en el tráfico al sitio de preventa.
P05;Spotify Wrapped Local;SOCIAL MEDIA & DOOH;Adaptación de la campaña Wrapped para vallas digitales en Bogotá y Medellín.;https://images.unsplash.com/photo-1614680376593-902f74cf0d41?w=1200&q=80,https://images.unsplash.com/photo-1611339555312-e607c8352fd7?w=1200&q=80,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=1200&q=80,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=1200&q=80,https://images.unsplash.com/photo-1493225255756-d9584f8606e9?w=1200&q=80;DOOH, Social Media, Data;T20,T21,T16;Adaptar la exitosa campaña global Wrapped al contexto cultural de Bogotá y Medellín.;Curaduría de datos locales y diseño de vallas digitales dinámicas que reflejan los gustos musicales.;Amplia visibilidad orgánica en redes sociales y consolidación de la presencia de marca en el mercado local.
P06;Nestlé Smart Data;CREATIVE DATA;Dashboard interactivo y visualización de datos de consumo para toma de decisiones.;https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=1200&q=80,https://images.unsplash.com/photo-1551288049-bbbda536339a?w=1200&q=80,https://images.unsplash.com/photo-1551434678-e076c223a692?w=1200&q=80,https://images.unsplash.com/photo-1581006852262-e4307cf6283a?w=1200&q=80,https://images.unsplash.com/photo-1504868584819-f8eec2421d50?w=1200&q=80;Data Viz, Creative Data, UI;T01,T13,T12;Transformar datos complejos de consumo en insights accionables para el equipo de marketing.;Diseño y desarrollo de un dashboard interactivo con visualizaciones de datos personalizadas en tiempo real.;Reducción del tiempo de toma de decisiones estratégicas y optimización del presupuesto publicitario.
P07;IKEA Welcome Home;CRM & EMAIL DESIGN;Estrategia de fidelización automatizada con diseño dinámico de correos electrónicos.;https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&q=80,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=1200&q=80,https://images.unsplash.com/photo-1581539250439-c96689b516dd?w=1200&q=80,https://images.unsplash.com/photo-1595428774223-ef0b06b83375?w=1200&q=80,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=1200&q=80;CRM, Email, Design;T18,T19,T07;Automatizar la comunicación con nuevos clientes para fomentar la lealtad a la marca.;Implementación de una estrategia de CRM con correos electrónicos dinámicos personalizados.;Tasa de apertura de correos del 45% y aumento en la frecuencia de compra de los nuevos miembros.
P08;P&G Global Pitch;PRESENTATION DESIGN;Diseño de narrativa visual y decks para la licitación global de cuentas de cuidado personal.;https://images.unsplash.com/photo-1557804506-669a67965ba0?w=1200&q=80,https://images.unsplash.com/photo-1475721027187-40aeae77c9d3?w=1200&q=80,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=1200&q=80,https://images.unsplash.com/photo-1551836022-d5d88e9218df?w=1200&q=80,https://images.unsplash.com/photo-1559136555-9303baea8ebd?w=1200&q=80;Keynote, Pitch, Narrative;T24,T05,T14;Desarrollar una narrativa visual impactante para la licitación global de cuentas de cuidado personal.;Diseño integral de decks de presentación y storytelling estratégico para comunicar el valor diferencial.;Adjudicación exitosa de la cuenta global y reconocimiento por la excelencia creativa en la presentación.
P09;AI Workflow 1.0;AI PRODUCTION;Implementación de herramientas de IA generativa para la creación de assets de campaña.;https://images.unsplash.com/photo-1677442136019-21780ecad995?w=1200&q=80,https://images.unsplash.com/photo-1620712943543-bcc4638d9980?w=1200&q=80,https://images.unsplash.com/photo-1675557009875-436f4575596f?w=1200&q=80,https://images.unsplash.com/photo-1675271591211-126ad9406fba?w=1200&q=80,https://images.unsplash.com/photo-1684163762274-98485a0677cc?w=1200&q=80;AI, Gen-AI, Workflow;T14,T25,T09;Optimizar los procesos internos de producción creativa mediante el uso de inteligencia artificial.;Integración de herramientas de IA generativa en el flujo de trabajo para la creación de assets.;Reducción del 40% en los tiempos de producción y mayor agilidad en la entrega de campañas.
P10;Netflix Premiere;UX/UI;Optimización del flujo de suscripción para lanzamientos de series originales en la región.;https://images.unsplash.com/photo-1522869635100-9f4c5e86aa37?w=1200&q=80,https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=1200&q=80,https://images.unsplash.com/photo-1512070670213-9a72183c3a4c?w=1200&q=80,https://images.unsplash.com/photo-1626814026160-2237a95fc5a0?w=1200&q=80,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1200&q=80;UX, Optimization, Streaming;T25,T13,T10;Facilitar el proceso de suscripción para usuarios en regiones con conectividad limitada.;Optimización técnica del flujo de pago y diseño de una interfaz minimalista centrada en la velocidad.;Aumento del 20% en las nuevas suscripciones y mejora significativa en la satisfacción del usuario.
